OnsetTime	OffsetTime	MidiPitch
0.0	0.8999999999999999	67
0.0	1.7999999999999998	60
0.8999999999999999	1.2	69
1.2	1.7999999999999998	67
1.7999999999999998	3.5999999999999996	64
1.7999999999999998	3.5999999999999996	60
3.5999999999999996	4.5	67
3.5999999999999996	5.3999999999999995	60
4.5	4.8	69
4.8	5.3999999999999995	67
5.3999999999999995	7.049999999999999	64
5.3999999999999995	5.999999999999999	60
6.0	6.6	59
6.6	7.199999999999999	57
7.199999999999999	8.399999999999999	74
7.199999999999999	9.0	55
8.4	9.0	74
9.0	10.8	71
9.0	10.2	55
10.2	10.799999999999999	55
10.799999999999999	11.999999999999998	72
10.799999999999999	12.599999999999998	60
12.0	12.6	72
12.6	14.399999999999999	67
12.6	14.399999999999999	60
14.399999999999999	15.599999999999998	69
14.399999999999999	16.2	53
15.6	16.2	69
16.2	17.099999999999998	72
16.2	18.0	53
17.099999999999998	17.4	71
17.4	18.0	69
18.0	18.9	67
18.0	19.8	60
18.9	19.2	69
19.2	19.8	67
19.8	21.6	64
19.8	21.6	60
21.599999999999998	22.799999999999997	69
21.599999999999998	23.4	53
22.8	23.400000000000002	69
23.4	24.299999999999997	72
23.4	25.2	53
24.3	24.6	71
24.599999999999998	25.2	69
25.2	26.099999999999998	67
25.2	27.0	60
26.099999999999998	26.4	69
26.4	27.0	67
27.0	28.65	64
27.0	27.6	60
27.599999999999998	28.2	59
28.2	28.8	57
28.799999999999997	29.999999999999996	74
28.799999999999997	30.599999999999998	55
30.0	30.6	74
30.599999999999998	31.2	77
30.599999999999998	32.4	55
31.2	31.8	74
31.799999999999997	32.4	71
32.4	34.199999999999996	72
32.4	34.199999999999996	60
34.199999999999996	35.99999999999999	76
34.199999999999996	35.99999999999999	60
36.0	36.6	72
36.0	37.8	60
36.6	37.2	67
37.199999999999996	37.8	64
37.8	38.699999999999996	67
37.8	39.599999999999994	55
38.699999999999996	38.99999999999999	65
39.0	39.6	62
39.6	41.4	60
39.6	41.4	60
